Date,Flooding_Phase,Pond,Size
10/04/2024,DF,LSP,3.1
14/04/2024,REC,LSP,3.3
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.3
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,2.7
07/05/2024,BF,LSP,2.7
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.6
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.6
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.3
07/05/2024,BF,LSP,2.6
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.6
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.6
07/05/2024,BF,LSP,2.7
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.1
07/05/2024,BF,LSP,2.3
07/05/2024,BF,LSP,2.8
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,1.9
07/05/2024,BF,LSP,2.3
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,1.9
07/05/2024,BF,LSP,2.6
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,2.1
07/05/2024,BF,LSP,2.2
07/05/2024,BF,LSP,2.4
07/05/2024,BF,LSP,2.5
07/05/2024,BF,LSP,2.3
07/05/2024,BF,LSP,2.5
07/05/2024,BF,SSP,2.6
07/05/2024,BF,SSP,2.7
07/05/2024,BF,SSP,2.5
07/05/2024,BF,SSP,2.7
07/05/2024,BF,SSP,2.6
07/05/2024,BF,SSP,2.5
07/05/2024,BF,SSP,2.4
07/05/2024,BF,SSP,2.8
07/05/2024,BF,SSP,2.7
07/05/2024,BF,SSP,2.3
07/05/2024,BF,SSP,2.9
07/05/2024,BF,SSP,2.5
07/05/2024,BF,SSP,2.3
07/05/2024,BF,SSP,2.8
07/05/2024,BF,SSP,2.6
09/05/2024,DF,LSP,2.3
09/05/2024,DF,LSP,2.1
09/05/2024,DF,LSP,2.2
09/05/2024,DF,LSP,2.4
09/05/2024,DF,LSP,2.5
09/05/2024,DF,LSP,2.5
09/05/2024,DF,LSP,2.8
09/05/2024,DF,LSP,2.4
09/05/2024,DF,LSP,3
09/05/2024,DF,LSP,2.9
09/05/2024,DF,LSP,3
09/05/2024,DF,LSP,2.4
09/05/2024,DF,LSP,2.4
09/05/2024,DF,LSP,3
09/05/2024,DF,LSP,2.4
09/05/2024,DF,LSP,2.5
09/05/2024,DF,LSP,2.4
09/05/2024,DF,LSP,2.5
09/05/2024,DF,LSP,2.5
09/05/2024,DF,SSP,2.2
09/05/2024,DF,SSP,2.6
09/05/2024,DF,SSP,2.6
09/05/2024,DF,SSP,2.2
09/05/2024,DF,SSP,2.6
09/05/2024,DF,SSP,2.6
09/05/2024,DF,SSP,2.5
09/05/2024,DF,SSP,2.8
09/05/2024,DF,SSP,2.7
10/05/2024,AF,LSP,2.5
10/05/2024,AF,LSP,2.4
10/05/2024,AF,LSP,2.5
10/05/2024,AF,LSP,2.6
10/05/2024,AF,LSP,3.4
10/05/2024,AF,LSP,2.6
10/05/2024,AF,LSP,2.6
10/05/2024,AF,LSP,2.3
10/05/2024,AF,LSP,2.7
10/05/2024,AF,LSP,2.7
10/05/2024,AF,LSP,2.9
10/05/2024,AF,LSP,3.2
10/05/2024,AF,LSP,2.9
10/05/2024,AF,LSP,2.5
10/05/2024,AF,LSP,3.1
10/05/2024,AF,LSP,2.4
10/05/2024,AF,LSP,2.8
10/05/2024,AF,LSP,2.9
10/05/2024,AF,LSP,2.8
10/05/2024,AF,LSP,3.2
10/05/2024,AF,LSP,2.4
10/05/2024,AF,LSP,3
10/05/2024,AF,LSP,2.4
10/05/2024,AF,LSP,2.7
10/05/2024,AF,LSP,2.8
10/05/2024,AF,LSP,2.4
10/05/2024,AF,LSP,2.9
10/05/2024,AF,LSP,2.7
10/05/2024,AF,LSP,2.7
10/05/2024,AF,LSP,3.2
10/05/2024,AF,LSP,3
10/05/2024,AF,LSP,2.5
10/05/2024,AF,LSP,3
10/05/2024,AF,LSP,3
10/05/2024,AF,LSP,3
10/05/2024,AF,SSP,3.1
12/05/2024,REC,LSP,3.4
12/05/2024,REC,LSP,2.6
12/05/2024,REC,LSP,2.7
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,2.6
12/05/2024,REC,LSP,3.2
12/05/2024,REC,LSP,3.5
12/05/2024,REC,LSP,2.8
12/05/2024,REC,LSP,2.7
12/05/2024,REC,LSP,3.1
12/05/2024,REC,LSP,2.9
12/05/2024,REC,LSP,3.2
12/05/2024,REC,LSP,2.8
12/05/2024,REC,LSP,2.7
12/05/2024,REC,LSP,2.5
12/05/2024,REC,LSP,2.2
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,3.5
12/05/2024,REC,LSP,2.7
12/05/2024,REC,LSP,2.5
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,2.9
12/05/2024,REC,LSP,2.6
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,2.9
12/05/2024,REC,LSP,3.1
12/05/2024,REC,LSP,2.8
12/05/2024,REC,LSP,2.9
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,2.7
12/05/2024,REC,LSP,3
12/05/2024,REC,LSP,2.5
12/05/2024,REC,LSP,2.4
12/05/2024,REC,LSP,2.7
12/05/2024,REC,LSP,2.9
12/05/2024,REC,LSP,2.6
