Date,Flooding_Phase,Month,M.Size
09/02/2024,BF,February,1.8
09/02/2024,BF,February,2
09/02/2024,BF,February,2.5
09/02/2024,BF,February,2
09/02/2024,BF,February,2
09/02/2024,BF,February,2.5
09/02/2024,BF,February,2.2
09/02/2024,BF,February,1.5
09/02/2024,BF,February,5.9
09/02/2024,BF,February,5.5
09/02/2024,BF,February,5
12/02/2024,DF,February,2.7
12/02/2024,DF,February,2.8
12/02/2024,DF,February,2.9
12/02/2024,DF,February,3
12/02/2024,DF,February,3
12/02/2024,DF,February,2.2
12/02/2024,DF,February,3
12/02/2024,DF,February,2.6
12/02/2024,DF,February,2.7
12/02/2024,DF,February,2.5
12/02/2024,DF,February,2
12/02/2024,DF,February,2.3
12/02/2024,DF,February,1.6
12/02/2024,DF,February,2.8
12/02/2024,DF,February,3.2
12/02/2024,DF,February,2.6
12/02/2024,DF,February,2.2
12/02/2024,DF,February,3.1
12/02/2024,DF,February,1.8
12/02/2024,DF,February,1.9
12/02/2024,DF,February,6.5
15/02/2024,AF,February,1.5
15/02/2024,AF,February,1.6
15/02/2024,AF,February,2
15/02/2024,AF,February,2.3
15/02/2024,AF,February,1.8
15/02/2024,AF,February,2.5
15/02/2024,AF,February,1.6
15/02/2024,AF,February,1.9
15/02/2024,AF,February,1.8
15/02/2024,AF,February,2.4
15/02/2024,AF,February,1.9
15/02/2024,AF,February,2
15/02/2024,AF,February,3
15/02/2024,AF,February,2
15/02/2024,AF,February,2.1
15/02/2024,AF,February,2.5
15/02/2024,AF,February,2.8
15/02/2024,AF,February,2.3
15/02/2024,AF,February,2.6
15/02/2024,AF,February,2.2
15/02/2024,AF,February,2.5
15/02/2024,AF,February,2
15/02/2024,AF,February,2.5
15/02/2024,AF,February,1.8
15/02/2024,AF,February,2.2
15/02/2024,AF,February,2.1
15/02/2024,AF,February,3
15/02/2024,AF,February,2.2
15/02/2024,AF,February,3
15/02/2024,AF,February,2.4
15/02/2024,AF,February,2.6
15/02/2024,AF,February,2.5
15/02/2024,AF,February,2.8
15/02/2024,AF,February,2.4
15/02/2024,AF,February,2.6
15/02/2024,AF,February,2.5
15/02/2024,AF,February,5.4
17/02/2024,REC,February,2.5
17/02/2024,REC,February,2.5
17/02/2024,REC,February,2.6
17/02/2024,REC,February,2.9
17/02/2024,REC,February,3
17/02/2024,REC,February,2.4
17/02/2024,REC,February,4.6
17/02/2024,REC,February,3
17/02/2024,REC,February,2.5
17/02/2024,REC,February,2.8
17/02/2024,REC,February,2.7
17/02/2024,REC,February,2.9
17/02/2024,REC,February,2.4
17/02/2024,REC,February,2.2
09/03/2024,BF,March,2.7
09/03/2024,BF,March,2.3
09/03/2024,BF,March,2.2
09/03/2024,BF,March,2.7
09/03/2024,BF,March,2.6
09/03/2024,BF,March,2.4
09/03/2024,BF,March,2.4
09/03/2024,BF,March,2.2
09/03/2024,BF,March,2.7
09/03/2024,BF,March,2.6
09/03/2024,BF,March,2.6
09/03/2024,BF,March,2.5
09/03/2024,BF,March,2.6
09/03/2024,BF,March,2.4
13/03/2024,DF,March,2.7
13/03/2024,DF,March,2.2
13/03/2024,DF,March,2.5
13/03/2024,DF,March,2.5
13/03/2024,DF,March,2.6
13/03/2024,DF,March,2.3
13/03/2024,DF,March,2.4
13/03/2024,DF,March,2.3
13/03/2024,DF,March,2.3
13/03/2024,DF,March,2.2
13/03/2024,DF,March,2.3
13/03/2024,DF,March,2.4
13/03/2024,DF,March,2
13/03/2024,DF,March,2.5
13/03/2024,DF,March,2.2
13/03/2024,DF,March,2.1
13/03/2024,DF,March,2.2
13/03/2024,DF,March,2
13/03/2024,DF,March,1.9
13/03/2024,DF,March,2.4
13/03/2024,DF,March,2.2
13/03/2024,DF,March,2.6
13/03/2024,DF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,3
15/03/2024,AF,March,2.5
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.5
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.3
15/03/2024,AF,March,2.9
15/03/2024,AF,March,2.5
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.8
15/03/2024,AF,March,2.8
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.5
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.5
15/03/2024,AF,March,2.3
15/03/2024,AF,March,2.7
15/03/2024,AF,March,2.3
15/03/2024,AF,March,2.2
15/03/2024,AF,March,2
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.7
15/03/2024,AF,March,2
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.2
15/03/2024,AF,March,2.8
15/03/2024,AF,March,2
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.3
15/03/2024,AF,March,2.2
15/03/2024,AF,March,2
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,2.7
15/03/2024,AF,March,2
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.2
15/03/2024,AF,March,2.8
15/03/2024,AF,March,2
15/03/2024,AF,March,2.1
15/03/2024,AF,March,2.4
15/03/2024,AF,March,2.6
15/03/2024,AF,March,6.5
17/03/2024,REC,March,2.1
17/03/2024,REC,March,2.1
17/03/2024,REC,March,2
17/03/2024,REC,March,2
17/03/2024,REC,March,2.4
17/03/2024,REC,March,2.4
17/03/2024,REC,March,2.6
17/03/2024,REC,March,2.5
17/03/2024,REC,March,2.7
17/03/2024,REC,March,2.5
17/03/2024,REC,March,2.6
17/03/2024,REC,March,2.2
17/03/2024,REC,March,2.1
17/03/2024,REC,March,2.4
17/03/2024,REC,March,2.2
17/03/2024,REC,March,2.2
17/03/2024,REC,March,2.3
17/03/2024,REC,March,2.5
17/03/2024,REC,March,2.1
17/03/2024,REC,March,2.4
17/03/2024,REC,March,2.3
07/04/2024,BF,April,2.6
07/04/2024,BF,April,2
07/04/2024,BF,April,2.2
07/04/2024,BF,April,2.4
07/04/2024,BF,April,2.2
07/04/2024,BF,April,3
07/04/2024,BF,April,2.6
07/04/2024,BF,April,2.3
07/04/2024,BF,April,2.7
07/04/2024,BF,April,2.3
07/04/2024,BF,April,2.2
07/04/2024,BF,April,2.7
07/04/2024,BF,April,2.9
07/04/2024,BF,April,2.2
07/04/2024,BF,April,2.7
07/04/2024,BF,April,2.6
07/04/2024,BF,April,2.9
07/04/2024,BF,April,2.1
07/04/2024,BF,April,6.4
10/04/2024,DF,April,2.4
10/04/2024,DF,April,1.9
10/04/2024,DF,April,2.4
10/04/2024,DF,April,2.5
10/04/2024,DF,April,2.4
10/04/2024,DF,April,2.3
10/04/2024,DF,April,2.4
10/04/2024,DF,April,2.3
10/04/2024,DF,April,2.3
10/04/2024,DF,April,2.9
10/04/2024,DF,April,2.5
10/04/2024,DF,April,2.4
10/04/2024,DF,April,2.3
10/04/2024,DF,April,2.4
10/04/2024,DF,April,2.3
10/04/2024,DF,April,2.6
10/04/2024,DF,April,2.1
10/04/2024,DF,April,2.3
10/04/2024,DF,April,2.3
10/04/2024,DF,April,6
10/04/2024,DF,April,5
10/04/2024,DF,April,6.5
10/04/2024,DF,April,6.5
12/04/2024,AF,April,2.5
12/04/2024,AF,April,2.5
12/04/2024,AF,April,5.5
14/04/2024,REC,April,1.8
14/04/2024,REC,April,1.6
07/05/2024,BF,May,2.7
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.3
07/05/2024,BF,May,3.1
07/05/2024,BF,May,2.9
07/05/2024,BF,May,2.8
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.5
07/05/2024,BF,May,2.9
07/05/2024,BF,May,3.6
07/05/2024,BF,May,2.9
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.4
07/05/2024,BF,May,3.9
07/05/2024,BF,May,2.6
07/05/2024,BF,May,2.9
07/05/2024,BF,May,3.1
07/05/2024,BF,May,2.7
07/05/2024,BF,May,3.1
07/05/2024,BF,May,3
07/05/2024,BF,May,3.1
07/05/2024,BF,May,2.7
07/05/2024,BF,May,2.7
07/05/2024,BF,May,3
07/05/2024,BF,May,3.2
07/05/2024,BF,May,3.5
07/05/2024,BF,May,3.2
07/05/2024,BF,May,2.9
07/05/2024,BF,May,2.7
07/05/2024,BF,May,2.2
07/05/2024,BF,May,3.8
07/05/2024,BF,May,3.2
07/05/2024,BF,May,2.2
07/05/2024,BF,May,4
07/05/2024,BF,May,4.1
09/05/2024,DF,May,2.5
09/05/2024,DF,May,2.4
09/05/2024,DF,May,2.9
09/05/2024,DF,May,2.4
09/05/2024,DF,May,2.3
09/05/2024,DF,May,2.6
09/05/2024,DF,May,3.7
09/05/2024,DF,May,3
09/05/2024,DF,May,3
09/05/2024,DF,May,3.2
09/05/2024,DF,May,3.5
09/05/2024,DF,May,3.2
09/05/2024,DF,May,2.5
09/05/2024,DF,May,2.7
09/05/2024,DF,May,2.6
09/05/2024,DF,May,3.7
09/05/2024,DF,May,2.7
09/05/2024,DF,May,3.2
09/05/2024,DF,May,4
09/05/2024,DF,May,3.3
09/05/2024,DF,May,3.1
09/05/2024,DF,May,3.3
09/05/2024,DF,May,3.4
09/05/2024,DF,May,3.9
09/05/2024,DF,May,2.7
09/05/2024,DF,May,3.5
09/05/2024,DF,May,3.4
09/05/2024,DF,May,3.3
09/05/2024,DF,May,2.4
09/05/2024,DF,May,2.9
09/05/2024,DF,May,2.7
09/05/2024,DF,May,4.1
09/05/2024,DF,May,4.3
09/05/2024,DF,May,4.5
09/05/2024,DF,May,4.5
10/05/2024,AF,May,3.6
10/05/2024,AF,May,3.6
10/05/2024,AF,May,3.5
10/05/2024,AF,May,3.7
10/05/2024,AF,May,3.6
10/05/2024,AF,May,3.4
10/05/2024,AF,May,3
10/05/2024,AF,May,3.7
10/05/2024,AF,May,3.4
10/05/2024,AF,May,4.5
10/05/2024,AF,May,5.5
12/05/2024,REC,May,2.8
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.3
12/05/2024,REC,May,2.9
12/05/2024,REC,May,3.6
12/05/2024,REC,May,2.9
12/05/2024,REC,May,3
12/05/2024,REC,May,3.2
12/05/2024,REC,May,2.9
12/05/2024,REC,May,3.3
12/05/2024,REC,May,3.3
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.2
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.8
12/05/2024,REC,May,3.2
12/05/2024,REC,May,2.8
12/05/2024,REC,May,2.6
12/05/2024,REC,May,2.8
12/05/2024,REC,May,2.6
12/05/2024,REC,May,3
12/05/2024,REC,May,3.3
12/05/2024,REC,May,3.8
12/05/2024,REC,May,3.5
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.3
12/05/2024,REC,May,2.9
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.8
12/05/2024,REC,May,3.9
12/05/2024,REC,May,3.2
12/05/2024,REC,May,2.8
12/05/2024,REC,May,3.2
12/05/2024,REC,May,3.2
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.6
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.2
12/05/2024,REC,May,2.9
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.9
12/05/2024,REC,May,3
12/05/2024,REC,May,3
12/05/2024,REC,May,3.3
12/05/2024,REC,May,3.5
12/05/2024,REC,May,3.2
12/05/2024,REC,May,3.5
12/05/2024,REC,May,3.8
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3
12/05/2024,REC,May,3.3
12/05/2024,REC,May,4
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.4
12/05/2024,REC,May,3.2
12/05/2024,REC,May,3.5
12/05/2024,REC,May,3.6
12/05/2024,REC,May,3.2
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.7
12/05/2024,REC,May,3.6
12/05/2024,REC,May,4
12/05/2024,REC,May,4
12/05/2024,REC,May,4.1
12/05/2024,REC,May,4.3
12/05/2024,REC,May,4.1
12/05/2024,REC,May,4.2
12/05/2024,REC,May,4.1
12/05/2024,REC,May,4
12/05/2024,REC,May,4.4
12/05/2024,REC,May,4.3
12/05/2024,REC,May,4.2
12/05/2024,REC,May,4
12/05/2024,REC,May,4.3
12/05/2024,REC,May,4.5
12/05/2024,REC,May,4.1
12/05/2024,REC,May,4
12/05/2024,REC,May,4.4
12/05/2024,REC,May,4.1
12/05/2024,REC,May,4.1
12/05/2024,REC,May,4.2
12/05/2024,REC,May,4
12/05/2024,REC,May,4.2
24/07/2024,DF,July,6
24/07/2024,DF,July,5.5
24/07/2024,DF,July,5.6
24/07/2024,DF,July,5.7
24/07/2024,DF,July,6.2
24/07/2024,DF,July,5.7
24/07/2024,DF,July,5.3
24/07/2024,DF,July,5.2
24/07/2024,DF,July,5.9
24/07/2024,DF,July,4
24/07/2024,DF,July,5.4
24/07/2024,DF,July,4.3
24/07/2024,DF,July,5.5
24/07/2024,DF,July,4.9
24/07/2024,DF,July,6.8
24/07/2024,DF,July,4
24/07/2024,DF,July,5
24/07/2024,DF,July,4.9
25/07/2024,AF,July,5.4
25/07/2024,AF,July,4.9
25/07/2024,AF,July,5.5
25/07/2024,AF,July,5.2
25/07/2024,AF,July,5.5
25/07/2024,AF,July,5.2
25/07/2024,AF,July,5.4
25/07/2024,AF,July,5.4
25/07/2024,AF,July,5.5
25/07/2024,AF,July,6
25/07/2024,AF,July,4.3
25/07/2024,AF,July,6
25/07/2024,AF,July,5.9
25/07/2024,AF,July,6.1
25/07/2024,AF,July,5.5
25/07/2024,AF,July,5.5
25/07/2024,AF,July,4.4
25/07/2024,AF,July,5.5
25/07/2024,AF,July,4.6
25/07/2024,AF,July,3.9
25/07/2024,AF,July,4.5
25/07/2024,AF,July,4.9
25/07/2024,AF,July,4.8
25/07/2024,AF,July,5.3
25/07/2024,AF,July,5
25/07/2024,AF,July,4.7
25/07/2024,AF,July,5.3
25/07/2024,AF,July,4.7
25/07/2024,AF,July,5.5
25/07/2024,AF,July,5.5
25/07/2024,AF,July,4.8
25/07/2024,AF,July,6.1
25/07/2024,AF,July,5.1
25/07/2024,AF,July,5.4
25/07/2024,AF,July,5
25/07/2024,AF,July,4.6
25/07/2024,AF,July,4.6
25/07/2024,AF,July,5.1
25/07/2024,AF,July,4.8
25/07/2024,AF,July,5.3
25/07/2024,AF,July,5.5
25/07/2024,AF,July,5.7
25/07/2024,AF,July,4.6
25/07/2024,AF,July,4.6
25/07/2024,AF,July,5.2
25/07/2024,AF,July,6.1
25/07/2024,AF,July,5.4
25/07/2024,AF,July,6.5
25/07/2024,AF,July,5.3
25/07/2024,AF,July,5.9
25/07/2024,AF,July,5.7
25/07/2024,AF,July,5.8
25/07/2024,AF,July,5.8
25/07/2024,AF,July,6.1
25/07/2024,AF,July,6.5
25/07/2024,AF,July,5.5
25/07/2024,AF,July,5.8
25/07/2024,AF,July,5.3
25/07/2024,AF,July,6
25/07/2024,AF,July,6.2
27/07/2024,REC,July,2.6
27/07/2024,REC,July,2.5
27/07/2024,REC,July,2
27/07/2024,REC,July,1.7
27/07/2024,REC,July,2.3
27/07/2024,REC,July,2.7
27/07/2024,REC,July,2
27/07/2024,REC,July,4.5
27/07/2024,REC,July,4.5
23/08/2024,DF,August,4.2
23/08/2024,DF,August,4
23/08/2024,DF,August,4
23/08/2024,DF,August,4.5
23/09/2024,DF,September,7.9
23/09/2024,DF,September,5.4
23/09/2024,DF,September,6.4
23/09/2024,DF,September,5.8
23/09/2024,DF,September,4.7
23/09/2024,DF,September,4
23/09/2024,DF,September,5.2
23/09/2024,DF,September,6.2
23/09/2024,DF,September,4
23/09/2024,DF,September,8.2
23/09/2024,DF,September,6.3
23/09/2024,DF,September,4.5
23/09/2024,DF,September,5.5
23/09/2024,DF,September,6.2
23/09/2024,DF,September,6.8
23/09/2024,DF,September,4.7
23/09/2024,DF,September,5.5
23/09/2024,DF,September,4.4
23/09/2024,DF,September,4.3
